@relation 'train_best-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute '0.08 pixel_778+0.08 pixel_576+0.079pixel_746+0.079pixel_517+0.078pixel_747...' numeric
@attribute -0.092pixel_15-0.087pixel_22-0.086pixel_11-0.085pixel_65-0.085pixel_184... numeric
@attribute -0.137pixel_802-0.136pixel_834-0.134pixel_770-0.133pixel_866-0.126pixel_898... numeric
@attribute 0.139pixel_63+0.139pixel_31+0.138pixel_30+0.136pixel_29+0.135pixel_32... numeric
@attribute -0.17pixel_740-0.166pixel_324-0.164pixel_708-0.162pixel_292-0.16pixel_227... numeric
@attribute '-0.191pixel_402-0.188pixel_626-0.18pixel_594+0.166pixel_932+0.16 pixel_997...' numeric
@attribute -0.163pixel_776-0.16pixel_808-0.149pixel_69-0.147pixel_840-0.142pixel_809... numeric
@attribute -0.152pixel_263+0.137pixel_1023+0.128pixel_990+0.127pixel_1022-0.116pixel_66... numeric
@attribute -0.138pixel_314-0.132pixel_200+0.132pixel_678+0.122pixel_773+0.122pixel_805... numeric
@attribute -0.176pixel_166-0.173pixel_198-0.156pixel_230-0.148pixel_995-0.145pixel_134... numeric
@attribute -0.145pixel_434+0.143pixel_730-0.135pixel_998-0.124pixel_323-0.123pixel_290... numeric
@attribute -0.142pixel_132-0.135pixel_100+0.134pixel_998+0.133pixel_965+0.129pixel_997... numeric
@attribute -0.144pixel_593-0.142pixel_233-0.142pixel_809-0.138pixel_433+0.135pixel_996... numeric
@attribute 0.166pixel_69-0.164pixel_625+0.142pixel_5-0.138pixel_658-0.135pixel_904... numeric
@attribute '0.23 pixel_807+0.183pixel_744-0.183pixel_574-0.176pixel_510-0.173pixel_606...' numeric
@attribute -0.234pixel_625+0.218pixel_232+0.187pixel_264+0.186pixel_200-0.185pixel_937... numeric
@attribute '-0.195pixel_391-0.168pixel_105+0.161pixel_76+0.16 pixel_43+0.154pixel_793...' numeric
@attribute 0.164pixel_233-0.159pixel_968+0.156pixel_825-0.142pixel_370+0.138pixel_791... numeric
@attribute '-0.19pixel_594+0.18 pixel_199-0.17pixel_408+0.167pixel_103+0.159pixel_538...' numeric
@attribute 0.194pixel_296+0.189pixel_434+0.163pixel_744+0.148pixel_168+0.147pixel_595... numeric
@attribute -0.249pixel_433-0.157pixel_277+0.152pixel_199+0.149pixel_171-0.148pixel_1024... numeric
@attribute 0.298pixel_807+0.203pixel_433+0.171pixel_264+0.159pixel_329+0.156pixel_265... numeric
@attribute 0.195pixel_625-0.191pixel_433+0.166pixel_402-0.165pixel_807+0.148pixel_403... numeric
@attribute -0.237pixel_1024+0.202pixel_625-0.196pixel_434+0.181pixel_403+0.163pixel_264... numeric
@attribute 0.212pixel_433-0.17pixel_905-0.165pixel_676+0.141pixel_99-0.137pixel_3... numeric
@attribute 0.209pixel_403+0.208pixel_105+0.182pixel_314+0.181pixel_6-0.168pixel_807... numeric
@attribute 0.262pixel_403+0.201pixel_744+0.172pixel_296-0.166pixel_402+0.158pixel_681... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 9.416415,1 1.497743,2 2.035881,3 1.804998,4 -0.305941,5 1.494691,6 1.425314,7 0.510706,8 0.062292,9 0.199172,10 0.399065,11 0.465792,12 -0.047798,13 -0.048073,14 -0.521462,15 -0.34923,16 -0.060895,17 -0.008175,18 0.081395,19 0.409514,20 0.048706,21 0.593724,22 0.182595,23 0.08393,24 -0.056136,25 -0.07037,26 -0.048637,27 2}
{0 2.408782,1 3.028315,2 0.782936,3 2.671211,4 -0.465275,5 0.858347,6 0.481745,7 -0.20084,8 -0.738588,9 -0.533127,10 -1.186793,11 0.565844,12 0.67505,13 0.170307,14 -0.702298,15 -0.542569,16 0.417383,17 -0.082201,18 0.569371,19 0.350766,20 0.400787,21 0.384132,22 -0.03228,23 -0.080055,24 -0.261868,25 0.074472,26 -0.120801,27 2}
{0 1.199199,1 -0.602257,2 0.531633,3 0.256273,4 0.083175,5 0.013086,6 0.044678,7 -0.338827,8 -0.355251,9 -0.580576,10 0.414945,11 0.194106,12 -0.240401,13 0.150331,14 -0.313255,15 -0.003713,16 0.31943,17 -0.330375,18 -0.182051,19 0.120453,20 -0.064239,21 0.361338,22 -0.054993,23 -0.034749,24 -0.08936,25 -0.070575,26 -0.168002,27 5}
{0 8.233833,1 0.304333,2 1.159397,3 1.087288,4 1.10435,5 -0.802451,6 1.130594,7 0.209188,8 1.152378,9 -0.068564,10 -0.137398,11 -0.37827,12 0.453273,13 0.117272,14 -1.03998,15 -0.089698,16 -0.215765,17 -0.626725,18 -0.245019,19 -0.037632,20 0.280936,21 0.706806,22 -0.424276,23 0.130023,24 -0.123563,25 -0.200649,26 -0.21082,27 6}
{0 6.111052,1 3.353289,2 1.245564,3 2.188036,4 0.012099,5 1.36989,6 1.131488,7 -0.578637,8 -0.166507,9 0.19709,10 -0.460527,11 0.657812,12 0.395479,13 0.39194,14 -0.488554,15 -0.435417,16 -0.026492,17 0.395789,18 0.396002,19 0.714799,20 0.213934,21 0.793191,22 0.078266,23 0.155739,24 -0.272175,25 0.192443,26 -0.285046,27 2}
{0 2.875571,1 2.554423,2 -0.706178,3 1.879474,4 0.10006,5 -0.74562,6 0.80076,7 0.333093,8 -0.216556,9 -0.930209,10 0.427151,11 -0.289355,12 -0.361589,13 0.442794,14 -1.331722,15 -0.354283,16 -0.290445,17 0.523723,18 -0.00569,19 0.176121,20 0.18369,21 0.11654,22 -0.321518,23 0.749743,24 0.005836,25 -0.67043,26 -0.095537,27 9}
{0 3.67413,1 -5.585923,2 -0.140159,3 4.210299,4 -0.216401,5 -0.191828,6 1.356238,7 -0.623004,8 -0.741673,9 -0.848405,10 0.312643,11 0.302448,12 0.487645,13 -0.332409,14 -0.319442,15 -0.173285,16 -0.022278,17 -0.373363,18 -0.713968,19 -0.065836,20 -0.181503,21 0.241244,22 -0.304769,23 -0.08073,24 -0.044772,25 0.363093,26 0.12164,27 10}
{0 0.992851,1 -0.927856,2 -0.83583,3 0.599601,4 -0.33437,5 0.047908,6 0.93584,7 -0.139954,8 0.224672,9 0.202961,10 -0.265793,11 0.167779,12 -0.338905,13 -0.002431,14 -0.529639,15 -0.085058,16 0.031917,17 -0.113256,18 0.190305,19 -0.024049,20 -0.347668,21 0.11015,22 0.056342,23 0.126476,24 0.334007,25 -0.168926,26 0.028599,27 9}
{0 10.005583,1 -0.631429,2 -2.457911,3 0.758069,4 -1.041874,5 0.510883,6 1.148587,7 -1.073551,8 0.51239,9 -1.277245,10 -0.063237,11 0.495071,12 -0.108956,13 0.471483,14 -0.077193,15 -0.268318,16 0.345865,17 0.20627,18 -0.124822,19 -0.217888,20 0.361087,21 0.439804,22 -0.521744,23 -0.129729,24 -0.236878,25 0.152507,26 0.042852}
{0 3.330358,1 0.693338,2 -1.452389,3 0.155558,4 -1.118933,5 0.300908,6 0.378073,7 0.561343,8 0.603087,9 0.363438,10 0.629883,11 0.693104,12 0.708824,13 0.454178,14 -0.855409,15 0.133244,16 -0.339133,17 -0.201482,18 0.054548,19 -0.265006,20 0.186101,21 0.328119,22 -0.101642,23 -0.020026,24 -0.036249,25 -0.088182,26 0.060873,27 4}
{0 0.739311,1 -1.417887,2 -0.13155,3 1.981327,4 -0.83389,5 -0.072666,6 0.46664,7 -1.120024,8 0.944563,9 0.342543,10 0.443177,11 -0.314553,12 -0.176194,13 -0.15332,14 -0.285762,15 -0.149509,16 -0.045478,17 0.424909,18 0.041695,19 0.040819,20 0.054658,21 0.425216,22 -0.048289,23 -0.130016,24 -0.650597,25 -0.186301,26 -0.001842,27 3}
{0 3.462516,1 3.710548,2 -0.263758,3 2.826135,4 -0.854694,5 0.52057,6 0.315851,7 -0.466105,8 0.30648,9 -1.466071,10 -0.803843,11 0.540644,12 0.532799,13 0.385048,14 -0.067727,15 -0.256842,16 0.016986,17 -0.435931,18 -0.460707,19 0.360932,20 -0.34434,21 -0.087233,22 -0.510353,23 0.403097,24 -0.231126,25 -0.273101,26 -0.196813}
{0 0.916152,1 -1.771311,2 0.894721,3 1.92172,4 -0.637419,5 -0.099087,6 -0.580581,7 -0.07919,8 0.610057,9 -0.372967,10 0.795981,11 0.395921,12 -0.37664,13 0.140258,14 -0.292444,15 -0.239467,16 -0.389241,17 0.242825,18 0.48916,19 -0.163773,20 0.034083,21 0.628243,22 -0.84784,23 -0.012418,24 -0.09524,25 0.297329,26 0.129518,27 2}
{0 4.590216,1 3.68999,2 -1.374495,3 2.182008,4 -0.500007,5 -1.283737,6 0.87206,7 0.101968,8 0.172233,9 -1.234009,10 0.927861,11 0.29843,12 -0.493198,13 0.592571,14 -1.062262,15 -0.225283,16 -0.506579,17 0.351517,18 -0.13305,19 0.173165,20 0.182254,21 -0.088692,22 -0.071446,23 0.53189,24 -0.147613,25 -0.457444,26 -0.14076,27 9}
{0 0.332737,1 0.209478,2 -0.046255,3 0.333164,4 0.020002,5 -0.023291,6 0.082442,7 0.167918,8 -0.030422,9 -0.131193,10 -0.12733,11 -0.084917,12 -0.094152,13 -0.165406,14 -0.192268,15 -0.05334,16 0.093122,17 0.054267,18 -0.028479,19 -0.107303,20 -0.071615,21 0.128499,22 0.034731,23 -0.025974,24 -0.064258,25 0.055314,26 0.079183,27 8}
{0 2.981844,1 1.963724,2 0.454584,3 1.445564,4 0.0364,5 0.813873,6 0.629549,7 -0.622845,8 -0.266349,9 -0.024074,10 -0.385073,11 0.606934,12 0.460354,13 0.657513,14 -0.319168,15 -0.765595,16 0.196628,17 0.272718,18 0.26495,19 0.239618,20 0.047326,21 0.327688,22 -0.245749,23 0.181321,24 -0.092855,25 0.250122,26 -0.454625,27 2}
{0 8.969886,1 -0.96203,2 0.165378,3 1.043093,4 1.66153,5 -0.28053,6 1.393705,7 -0.211093,8 1.280831,9 -0.268632,10 -0.109635,11 -0.326883,12 0.244129,13 0.036743,14 -0.627352,15 -0.078565,16 -0.206915,17 -0.54073,18 0.165131,19 0.255007,20 0.074413,21 0.177796,22 -0.118841,23 -0.080096,24 -0.314809,25 0.097814,26 0.106816,27 6}
{0 9.759261,1 -0.569205,2 -1.081453,3 0.753552,4 -1.258849,5 0.170512,6 0.472023,7 -0.902956,8 0.744704,9 -0.803164,10 -0.389839,11 0.465522,12 -0.053035,13 0.217876,14 -0.419951,15 -0.008869,16 0.187425,17 -0.088519,18 -0.165118,19 0.005732,20 0.212974,21 0.269932,22 -0.196776,23 -0.1214,24 -0.138156,25 -0.046352,26 0.188494}
{0 5.601225,1 -1.516835,2 -0.285461,3 1.225752,4 0.415835,5 -0.979963,6 0.363578,7 0.271926,8 0.233924,9 0.19198,10 -0.465399,11 0.452348,12 -0.025725,13 0.413483,14 -0.191421,15 -0.667185,16 0.194478,17 -0.046208,18 -0.188113,19 0.469974,20 -0.395483,21 0.182662,22 -0.104098,23 -0.125204,24 0.134043,25 -0.289235,26 0.366961,27 8}
{0 7.476181,1 -1.879104,2 -3.466395,3 0.849779,4 -0.620346,5 0.663049,6 1.595842,7 -0.533157,8 -0.224125,9 -0.810195,10 0.375943,11 -0.073382,12 0.090822,13 0.596236,14 -0.450124,15 -0.664754,16 0.232287,17 -0.041582,18 0.104183,19 -0.216832,20 0.351076,21 0.184989,22 -0.417992,23 0.175783,24 -0.175078,25 0.378973,26 -0.427372}
{0 6.288028,1 -4.419875,2 -2.591386,3 1.032799,4 -0.945924,5 0.556374,6 1.828736,7 -0.371775,8 -0.633119,9 -0.754918,10 -0.140079,11 -0.52073,12 -0.226762,13 0.437802,14 -0.755068,15 -0.48488,16 0.345426,17 -0.320002,18 -0.048283,19 -0.176254,20 0.504739,21 0.194874,22 -0.096959,23 -0.040045,24 -0.16352,25 0.306031,26 -0.390148}
{0 1.727145,1 -3.136541,2 0.761054,3 3.312709,4 -0.633524,5 -0.729116,6 -0.437463,7 -0.128117,8 0.935022,9 -0.562439,10 0.609235,11 0.545498,12 -0.004389,13 0.220374,14 -0.318815,15 -0.555541,16 -0.521769,17 0.326202,18 0.565095,19 -0.100723,20 -0.400091,21 0.440291,22 -0.389284,23 -0.213219,24 -0.487682,25 0.012882,26 0.074868,27 10}
{0 1.081643,1 -1.897945,2 -0.450595,3 1.692476,4 -1.094967,5 -0.037224,6 1.13284,7 -0.691418,8 0.600726,9 0.106248,10 -0.087601,11 -0.392064,12 -0.068904,13 -0.011717,14 -0.591514,15 -0.133853,16 0.315021,17 -0.130629,18 0.078294,19 -0.014496,20 0.043695,21 0.039017,22 0.298553,23 0.229696,24 0.203436,25 -0.198568,26 0.147405,27 7}
{0 8.259001,1 0.864832,2 2.418291,3 -0.157636,4 -0.531572,5 -0.21023,6 0.654398,7 -1.446966,8 -0.593632,9 -0.530727,10 0.684783,11 -0.354191,12 0.985317,13 -0.100832,14 -0.80362,15 -0.479795,16 -0.385518,17 -0.107834,18 -0.161591,19 -0.051697,20 -0.549869,21 0.226697,22 0.006958,23 -0.264945,24 -0.029096,25 0.018899,26 0.296336,27 5}
{0 0.522756,1 0.257714,2 -0.4485,3 0.414837,4 -0.052288,5 0.217245,6 -0.217564,7 0.099982,8 0.246203,9 -0.355718,10 -0.073006,11 -0.105841,12 0.116774,13 -0.078558,14 -0.081695,15 -0.107805,16 -0.060052,17 -0.063856,18 -0.184383,19 -0.038423,20 -0.070031,21 0.098651,22 0.034644,23 0.095978,24 -0.025046,25 -0.054341,26 0.001853,27 3}
{0 2.929468,1 2.772432,2 0.403606,3 1.89596,4 -0.698372,5 -0.64952,6 0.910574,7 0.038886,8 -0.300308,9 -0.46092,10 0.044893,11 -0.414982,12 -0.29154,13 0.010322,14 0.324223,15 0.197659,16 -0.077504,17 -0.552066,18 0.240412,19 -0.249243,20 -0.306044,21 0.212298,22 -0.162495,23 -0.500444,24 -0.169186,25 0.035271,26 -0.21097,27 4}
{0 1.287685,1 -2.702851,2 -0.113102,3 2.512784,4 -1.247416,5 -0.276635,6 1.013049,7 -0.84737,8 0.852618,9 -0.061165,10 0.225734,11 -0.333897,12 0.099312,13 -0.061094,14 -0.568836,15 -0.328199,16 0.420968,17 -0.065437,18 0.246827,19 0.030384,20 -0.052412,21 0.103249,22 0.256249,23 0.115769,24 -0.018793,25 -0.450744,26 0.084354,27 7}
{0 7.305345,1 -1.510412,2 -0.953135,3 1.171904,4 -1.679316,5 -0.537588,6 0.438832,7 0.514552,8 -0.270313,9 -0.08087,10 0.164065,11 -0.537147,12 0.179576,13 0.168843,14 -0.149761,15 -0.641803,16 0.022595,17 -0.302508,18 0.139162,19 0.336392,20 -0.324237,21 0.0264,22 -0.112595,23 -0.102742,24 -0.391201,25 -0.025798,26 -0.022263,27 4}
{0 3.828824,1 3.626008,2 -0.097714,3 2.650818,4 -0.874252,5 0.119462,6 0.079354,7 -0.451642,8 0.140629,9 -0.404156,10 -0.567415,11 0.670993,12 -0.093185,13 -0.381632,14 -0.321646,15 -0.514234,16 0.001044,17 -1.032551,18 -0.046093,19 -0.232928,20 -0.059014,21 0.148213,22 0.247777,23 0.106374,24 -0.464059,25 0.165562,26 -0.052595,27 3}
{0 0.709143,1 1.305016,2 0.14631,3 1.363811,4 0.194568,5 -0.013929,6 0.400381,7 0.64578,8 -0.281876,9 -0.542145,10 -0.572123,11 -0.569139,12 -0.417737,13 -0.491554,14 -0.56961,15 -0.354439,16 0.237849,17 -0.101749,18 -0.056874,19 -0.572045,20 -0.117238,21 0.637483,22 0.297155,23 -0.001146,24 -0.388479,25 0.262391,26 0.316758,27 8}
{0 4.859303,1 4.653343,2 -1.471978,3 4.023772,4 0.058389,5 -0.244462,6 0.537566,7 0.283382,8 -0.057943,9 -1.801647,10 0.56737,11 -0.755064,12 -0.138405,13 0.560626,14 -0.971251,15 -0.592887,16 -0.054341,17 0.21101,18 0.491019,19 0.304022,20 -0.060348,21 0.066618,22 0.122737,23 -0.305767,24 0.440709,25 -0.101541,26 0.133629,27 10}
{0 1.464207,1 -2.486668,2 -0.278846,3 2.578116,4 -0.763685,5 -0.074115,6 1.128685,7 -1.098077,8 0.274652,9 -0.067432,10 0.338058,11 -0.294568,12 -0.047761,13 -0.222267,14 -0.535388,15 -0.093182,16 0.503295,17 -0.162174,18 -0.547261,19 0.100291,20 0.100342,21 0.245198,22 0.055978,23 0.17164,24 0.219405,25 -0.016157,26 0.31441,27 10}
{0 6.47859,1 -0.427135,2 -2.283006,3 0.39107,4 -0.53216,5 -0.975786,6 1.094598,7 0.078997,8 -0.077907,9 -0.937303,10 0.393768,11 0.858511,12 -0.272317,13 -0.419867,14 -0.772194,15 -0.152713,16 -0.328758,17 -0.069178,18 0.103839,19 0.358237,20 0.112537,21 0.282465,22 -0.065408,23 0.035397,24 -0.702633,25 0.067435,26 0.083553,27 9}
{0 3.923479,1 -1.241572,2 -2.527648,3 0.987233,4 0.80843,5 0.38804,6 0.990946,7 0.044706,8 -0.086286,9 -0.081619,10 0.156129,11 0.598059,12 -0.689447,13 0.264385,14 -0.361296,15 -0.862704,16 0.04326,17 -0.283519,18 -0.436367,19 -0.162318,20 -0.015302,21 0.435671,22 0.131117,23 0.01927,24 -0.073409,25 -0.202491,26 -0.355072,27 8}
{0 5.253692,1 -3.427505,2 -1.679104,3 0.519443,4 -1.299972,5 -0.052333,6 1.262678,7 0.613805,8 0.174802,9 0.212455,10 -0.317597,11 0.081727,12 0.644723,13 0.446715,14 -1.464698,15 -0.387895,16 0.451864,17 -0.186901,18 0.375609,19 -0.41849,20 -0.015128,21 0.378394,22 -0.099375,23 0.216998,24 -0.552119,25 -0.101317,26 -0.165725,27 7}
{0 0.963204,1 1.558317,2 -0.662202,3 1.591482,4 0.397908,5 0.305196,6 -0.122406,7 0.511431,8 0.237392,9 -1.122378,10 -0.533396,11 -0.706927,12 -0.001075,13 -0.385305,14 -0.422861,15 -0.859466,16 0.12578,17 -0.172746,18 -0.429596,19 -0.465108,20 -0.207029,21 0.793221,22 0.261491,23 0.309832,24 -0.264773,25 0.109697,26 0.226208,27 8}
{0 1.945001,1 1.995675,2 -1.165597,3 1.678198,4 -0.397827,5 0.370908,6 -0.069608,7 0.405894,8 0.563224,9 -1.108778,10 0.28254,11 0.139328,12 0.642569,13 0.293512,14 -0.521408,15 0.082514,16 -0.131756,17 0.037698,18 -0.359656,19 0.042535,20 0.079754,21 0.268305,22 0.190333,23 -0.420821,24 0.374255,25 -0.286713,26 0.096573,27 7}
{0 4.974979,1 -3.599017,2 -2.37668,3 0.689139,4 -0.676393,5 -0.291677,6 1.501482,7 0.262462,8 -0.435401,9 -0.450761,10 -0.23514,11 0.741077,12 -0.06373,13 -0.652214,14 -1.209118,15 -0.207696,16 -0.092852,17 -0.548592,18 0.456896,19 -0.017746,20 -0.12948,21 0.394289,22 -0.41132,23 -0.442545,24 -0.369378,25 0.037835,26 0.007266,27 9}
{0 0.977963,1 0.366971,2 -0.412078,3 0.632931,4 -0.113471,5 0.147436,6 -0.066063,7 0.169773,8 0.191161,9 -0.277765,10 -0.024993,11 0.001697,12 0.120701,13 0.04633,14 -0.104268,15 -0.052917,16 -0.02651,17 -0.024715,18 -0.087592,19 -0.031531,20 -0.080175,21 0.085273,22 0.058505,23 0.046182,24 0.020681,25 -0.068971,26 0.002441,27 10}
{0 8.876024,1 -1.617706,2 -0.144988,3 0.874975,4 1.844582,5 0.181627,6 1.593194,7 -0.214712,8 1.393763,9 -0.369361,10 -0.059814,11 -0.242056,12 0.201141,13 0.333949,14 -0.383026,15 -0.228424,16 -0.159083,17 -0.525971,18 0.199701,19 0.286407,20 -0.028154,21 0.172623,22 0.007569,23 -0.171607,24 -0.468638,25 0.073501,26 0.101247,27 6}
{0 8.163796,1 -1.760223,2 1.221039,3 1.012378,4 1.32582,5 -0.673249,6 1.232664,7 0.14796,8 1.349867,9 -0.035336,10 -0.027905,11 -0.258279,12 0.404884,13 -0.192606,14 -0.777609,15 -0.351065,16 0.053496,17 -0.537851,18 -0.172035,19 0.111326,20 0.345714,21 0.333854,22 -0.264634,23 -0.26802,24 -0.302774,25 -0.113437,26 -0.129242,27 6}
{0 0.686138,1 -1.445734,2 0.024462,3 1.639088,4 -0.705086,5 -0.124234,6 0.201705,7 -0.714181,8 0.80219,9 -0.05415,10 0.250598,11 -0.168988,12 -0.082209,13 0.156209,14 -0.164059,15 -0.196803,16 -0.217611,17 0.284026,18 0.173168,19 0.155129,20 -0.050759,21 0.293382,22 -0.042654,23 -0.089668,24 -0.497618,25 0.015117,26 -0.048253}
{0 0.753296,1 -0.988389,2 0.648406,3 0.852017,4 -0.225051,5 -0.122061,6 -0.377848,7 -0.390493,8 -0.015405,9 -0.590189,10 0.630817,11 0.101944,12 -0.449341,13 0.656065,14 -0.485089,15 0.2179,16 0.529587,17 -0.649339,18 0.136524,19 0.35797,20 -0.028256,21 0.80642,22 -0.129568,23 -0.026796,24 -0.072669,25 0.346994,26 0.016898,27 5}
{0 7.096954,1 -1.286989,2 -1.733083,3 0.296214,4 -1.16872,5 -0.44963,6 0.89777,7 0.448483,8 0.208692,9 0.03968,10 0.180207,11 0.07393,12 0.819434,13 0.571255,14 -0.831494,15 -0.308986,16 0.530704,17 0.014505,18 0.380444,19 -0.191996,20 -0.185236,21 0.833788,22 -0.045666,23 0.304917,24 -0.666497,25 -0.271625,26 -0.254376,27 7}
{0 0.712694,1 0.827702,2 -0.238686,3 0.863526,4 0.043784,5 -0.100148,6 0.359404,7 0.445698,8 -0.02728,9 -0.569906,10 -0.030028,11 -0.274288,12 -0.281954,13 -0.031164,14 -0.418855,15 0.164921,16 0.051223,17 0.316836,18 0.032734,19 0.108787,20 -0.146428,21 -0.061256,22 -0.205813,23 0.075444,24 0.032707,25 -0.128006,26 -0.049481,27 9}
{0 6.749898,1 1.236741,2 1.292203,3 1.448397,4 0.693533,5 1.693057,6 1.144598,7 -0.527733,8 -0.033944,9 0.134275,10 -0.23097,11 0.617408,12 0.215394,13 0.626162,14 -0.265454,15 -0.472801,16 0.079091,17 0.463957,18 0.076593,19 0.30584,20 -0.203527,21 0.559506,22 0.193659,23 -0.006783,24 -0.351235,25 -0.161382,26 -0.191411,27 2}
{0 3.877075,1 -0.719811,2 1.087941,3 -0.293567,4 0.233097,5 -0.191839,6 -0.084919,7 -0.799981,8 -0.680188,9 -0.944343,10 0.753958,11 -0.207996,12 0.20756,13 0.044139,14 -1.131992,15 -0.424572,16 0.246952,17 -0.070309,18 -0.155517,19 0.073817,20 -0.002079,21 0.293936,22 -0.006158,23 -0.210555,24 -0.351512,25 -0.301757,26 -0.106975,27 5}
{0 2.401342,1 -4.463825,2 0.722221,3 3.604701,4 -0.323403,5 -0.41115,6 0.531914,7 -0.54834,8 0.69813,9 -0.948636,10 0.665321,11 0.370052,12 0.187937,13 0.256414,14 -0.246996,15 -0.491908,16 0.600575,17 -0.635496,18 0.022313,19 0.159337,20 -0.160317,21 0.074536,22 0.233077,23 -0.17971,24 -0.51307,25 -0.811699,26 0.174333,27 6}
{0 6.287009,1 -5.436395,2 -0.245173,3 2.653029,4 0.379218,5 -0.536731,6 0.427184,7 0.548029,8 -0.467474,9 -0.303935,10 -0.498532,11 0.623727,12 0.602068,13 0.14811,14 -0.502896,15 0.164663,16 0.120754,17 0.188489,18 -0.019079,19 -0.324103,20 -0.167439,21 0.568656,22 0.147962,23 0.001912,24 -0.123922,25 -0.085696,26 0.06982,27 10}
{0 4.160112,1 2.591741,2 -1.500853,3 1.401724,4 -1.132969,5 0.255637,6 0.133794,7 0.466492,8 0.842422,9 -0.286497,10 1.093819,11 0.605843,12 1.133127,13 0.59989,14 -0.814897,15 0.179878,16 -0.340556,17 -0.170785,18 -0.322709,19 0.09065,20 0.232806,21 0.476075,22 0.108071,23 -0.445888,24 0.037199,25 -0.18718,26 0.053462,27 4}
{0 9.695725,1 -2.066663,2 -2.432817,3 1.837198,4 1.586885,5 -0.321947,6 0.091905,7 -0.496172,8 -0.647594,9 0.290702,10 0.614507,11 -0.018385,12 0.225823,13 0.267506,14 -0.065154,15 0.066758,16 0.31645,17 0.125745,18 0.217201,19 0.452645,20 0.089745,21 0.409487,22 0.154658,23 0.082685,24 -0.15485,25 -0.141387,26 0.236187,27 10}
{0 10.15896,1 -2.881105,2 -0.940272,3 0.596332,4 -1.534877,5 0.01323,6 0.751434,7 -0.929142,8 0.695018,9 -1.120664,10 -0.606585,11 0.162958,12 -0.236442,13 0.149378,14 -0.810015,15 -0.137796,16 0.271116,17 0.046501,18 0.093064,19 -0.280719,20 0.390247,21 0.471231,22 0.07107,23 -0.284742,24 -0.008182,25 -0.065413,26 0.00825}
{0 4.013225,1 -3.060278,2 -2.655321,3 0.643724,4 -0.47098,5 0.104355,6 1.8159,7 0.260613,8 -0.205686,9 -0.17854,10 -0.16993,11 0.717069,12 -0.32402,13 -0.261256,14 -1.339222,15 -0.344993,16 -0.034244,17 -0.523594,18 0.522771,19 -0.246148,20 -0.482195,21 0.369571,22 -0.370073,23 -0.224658,24 -0.23214,25 -0.047993,26 -0.175988,27 9}
{0 10.397109,1 -1.025243,2 0.063509,3 2.029861,4 0.613369,5 -1.536902,6 -0.18288,7 0.177959,8 0.31252,9 0.356832,10 -0.044692,11 0.260799,12 0.092542,13 0.52714,14 -1.038092,15 -0.44976,16 0.379311,17 0.56955,18 -0.171683,19 -0.186033,20 -0.084288,21 0.321039,22 0.238537,23 -0.218651,24 -0.334014,25 -0.062409,26 -0.097578,27 10}
{0 6.285019,1 -0.219983,2 -1.130131,3 0.919504,4 -1.315335,5 -0.397806,6 0.522584,7 0.441178,8 -0.135896,9 0.023348,10 0.254362,11 -0.289632,12 0.210531,13 0.365316,14 -0.274142,15 -0.463834,16 0.095922,17 -0.237037,18 -0.148919,19 0.331383,20 -0.175191,21 0.184563,22 -0.037819,23 -0.102703,24 -0.538067,25 -0.027457,26 0.034392,27 4}
{0 1.22154,1 1.549177,2 -0.841152,3 1.719105,4 0.175219,5 0.79858,6 -0.495062,7 0.226988,8 0.262377,9 -1.151323,10 -0.678958,11 -0.411127,12 0.281865,13 -0.534305,14 -0.443043,15 -0.901495,16 0.040672,17 -0.281544,18 -0.296709,19 -0.165624,20 -0.052913,21 0.554006,22 0.202213,23 0.430775,24 -0.276548,25 -0.0822,26 0.114733,27 3}
{0 5.630123,1 -3.917941,2 -1.401144,3 1.214273,4 1.34012,5 0.867093,6 1.515278,7 -0.227198,8 0.371865,9 -0.613629,10 0.093375,11 0.227803,12 -0.259346,13 0.495408,14 -0.087083,15 -0.197989,16 0.221459,17 -0.485516,18 0.687188,19 -0.080966,20 -0.645619,21 -0.241416,22 0.6131,23 -0.212234,24 -0.811095,25 -0.217621,26 0.235245,27 6}
{0 8.169542,1 -1.474724,2 -0.880686,3 0.767312,4 1.702946,5 0.339646,6 1.706685,7 -0.254037,8 1.0988,9 -0.496877,10 -0.006934,11 -0.026578,12 0.240038,13 0.589378,14 -0.458992,15 -0.04337,16 -0.39726,17 -0.359852,18 0.467814,19 -0.001408,20 -0.334972,21 0.252483,22 -0.002361,23 0.027998,24 -0.472422,25 -0.009004,26 0.224496,27 6}
{0 0.868667,1 -1.907072,2 -0.553153,3 1.591846,4 -0.763529,5 -0.104326,6 1.176305,7 -0.852587,8 0.357359,9 0.068037,10 -0.01201,11 -0.069595,12 -0.334648,13 -0.182244,14 -0.804077,15 -0.107176,16 0.406661,17 -0.276629,18 0.017376,19 0.18857,20 -0.459327,21 0.301481,22 0.119651,23 -0.000493,24 0.388066,25 -0.486529,26 0.061177,27 9}
